Brand,Model,Year,Trim,Drive,Description,Exterior Color,Interior Color,Miles,Price
Ram,1500,2008,XL,RWD,"Regular Cab 137"" ",White exterior,Beige interior,,
Ram,1500,2012,SLE,4WD,Crew Cab SB ,White exterior,Black interior,,
Ram,1500,2015,LT,4WD,with 1LT Crew Cab Short Box ,Blue exterior,Black interior,,
Ram,1500,2019,Big,4WD,"Horn/Lone Star Crew Cab 5'7"" Box ",White exterior,Black interior,,
Ram,1500,2020,XL,2WD,SuperCrew 5.5' Box ,Gray exterior,Unknown interior,,
GMC,Sierra 2500HD,2021,SLE,4WD,Crew Cab Standard Bed ,White exterior,Black interior,,
GMC,Sierra 2500HD,2014,SLT,4WD,Crew Cab Short Box ,Brown exterior,Brown interior,,
GMC,Sierra 2500HD,2017,SR5,Automatic,Double Cab 5' Bed V6 4WD ,White exterior,Unknown interior,,
GMC,Sierra 2500HD,2013,XLT,4WD,SuperCrew 5.5' Box ,Black exterior,Gray interior,,
GMC,Sierra 2500HD,2010,XL,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
GMC,Sierra 2500HD,2019,Raptor,4WD,SuperCrew 5.5' Box ,Black exterior,Black interior,,
GMC,Sierra 2500HD,2018,LT,4WD,Double Cab Standard Box ,White exterior,Black interior,,
GMC,Sierra 2500HD,2018,Limited,4WD,SuperCrew 5.5' Box ,White exterior,Unknown interior,,
GMC,Sierra 2500HD,2016,XL,RWD,"Crew Cab 156"" ",White exterior,Gray interior,,
GMC,Sierra 2500HD,2018,XL,4WD,SuperCrew 5.5' Box ,Unknown exterior,Unknown interior,,
